Name,Surname,Real Name,Type,Gender,Nationality,Complete Name (Name Surname),Complete Name (Surname Name),Have Image [Y/N]
Aleksandr,Solzhenitsyn,,"Novelist, Historian",Male,Russian,"Aleksandr, Solzhenitsyn","Solzhenitsyn, Aleksandr",Y
Aleksandra,Waliszewska,,"Painter, Illustrator",Female,Polish,"Aleksandra, Waliszewska","Waliszewska, Aleksandra",
Aleksei,Balabanov,,"Film Director, Screenwriter",Male,Russian,"Aleksei, Balabanov","Balabanov, Aleksei",
Aleksei,German,,"Film Director, Screenwriter",Male,Russian,"Aleksei, German","German, Aleksei",
Alex,Garland,,"Film Director, Screenwriter",Male,British,"Alex, Garland","Garland, Alex",
Alexander,Bard,,"Philosopher, Artist",Male,Swedish,"Alexander, Bard","Bard, Alexander",
Alexander,Calder,,Sculptor,Male,American,"Alexander, Calder","Calder, Alexander",
Alexander,Theroux,,Writer,Male,American,"Alexander, Theroux","Theroux, Alexander",
Alexandre,Cabanel,,Painter,Male,French,"Alexandre, Cabanel","Cabanel, Alexandre",
Alexandre,Dumas,,"Novelist, Playwright",Male,French,"Alexandre, Dumas","Dumas, Alexandre",Y
Alexandre,Kojève,,Philosopher,Male,"Russian, French","Alexandre, Kojève","Kojève, Alexandre",
Alexandre,Seon,,Painter,Male,French,"Alexandre, Seon","Seon, Alexandre",
Alexandre,Séon,,Painter,Male,French,"Alexandre, Séon","Séon, Alexandre",
Alexandros,Alexandrakis,,Painter,Male,Greek,"Alexandros, Alexandrakis","Alexandrakis, Alexandros",
Alexej,von Jawlensky,,Painter,Male,Russian,"Alexej, von Jawlensky","von Jawlensky, Alexej",
Alfred North,Whitehead,,"Philosopher, Mathematician",Male,British,"Alfred North, Whitehead","Whitehead, Alfred North",
Alfred,Döblin,,"Novelist, Essayist",Male,German,"Alfred, Döblin","Döblin, Alfred",
Alfred,Hitchcock,,"Film Director, Producer",Male,British,"Alfred, Hitchcock","Hitchcock, Alfred",
Alfred,Jarry,,"Playwright, Novelist, Poet",Male,French,"Alfred, Jarry","Jarry, Alfred",
Alfred,Kubin,,"Printmaker, Illustrator, Writer",Male,Austrian,"Alfred, Kubin","Kubin, Alfred",
Alfred,Noyes,,Poet,Male,British,"Alfred, Noyes","Noyes, Alfred",
Algernon,Blackwood,,"Writer, Novelist, Short Story Writer",Male,British,"Algernon, Blackwood","Blackwood, Algernon",
Al-Ghazali,,Abu Hamid Muhammad ibn Muhammad al-Ghazali,"Philosopher, Theologian",Male,Persian,Al-Ghazali,Al-Ghazali,
Alice,Walker,,"Writer, Activist",Female,American,"Alice, Walker","Walker, Alice",
Alilce,Munro,,,,,"Alilce, Munro","Munro, Alilce",
Alistair,Horne,,"Historian, Journalist",Male,British,"Alistair, Horne","Horne, Alistair",
Alphonse,Osbert,,Painter,Male,French,"Alphonse, Osbert","Osbert, Alphonse",
Ambrose,Bierce,,,,,"Ambrose, Bierce","Bierce, Ambrose",
Amedeo,Modigliani,,"Painter, Sculptor",Male,Italian,"Amedeo, Modigliani","Modigliani, Amedeo",
Amin,Maalouf,,Writer,Male,"Lebanese, French","Amin, Maalouf","Maalouf, Amin",
Ana Lily,Amirpour,,"Film Director, Screenwriter",Female,"Iranian, American","Ana Lily, Amirpour","Amirpour, Ana Lily",
Anaïs,Nin,,Writer,Female,"French, Cuban","Anaïs, Nin","Nin, Anaïs",
Anatole,France,,,,,"Anatole, France","France, Anatole",
Anaxagoras,,,Philosopher,Male,Greek,Anaxagoras,Anaxagoras,
Anaximander,,,Philosopher,Male,Greek,Anaximander,Anaximander,
Anaximenes,,,Philosopher,Male,Greek,Anaximenes,Anaximenes,
Anders,Zorn,,Painter,Male,Swedish,"Anders, Zorn","Zorn, Anders",
André,Breton,,"Poet, Writer",Male,French,"André, Breton","Breton, André",
André,Gide,,"Novelist, Essayist, Dramatist",Male,French,"André, Gide","Gide, André",
André,Malraux,,,,,"André, Malraux","Malraux, André",
Andrea,Mantegna,,Painter,Male,Italian,"Andrea, Mantegna","Mantegna, Andrea",
Andrei,Bely,Boris Nikolaevich Bugaev,"Novelist, Poet, Theorist",Male,Russian,"Andrei, Bely","Bely, Andrei",
Andrei,Platonov,,,,,"Andrei, Platonov","Platonov, Andrei",
Andrei,Tarkovsky,,"Film Director, Screenwriter, Film Theorist",Male,Russian,"Andrei, Tarkovsky","Tarkovsky, Andrei",
Andrei,Ujică,,Film Director,Male,Romanian,"Andrei, Ujică","Ujică, Andrei",
Andrev,Walden,,"Author, Essayist",Male,American,"Andrev, Walden","Walden, Andrev",
Andrew,Graham-Dixon,,,,,"Andrew, Graham-Dixon","Graham-Dixon, Andrew",
Andrew,Roberts,,Historian,Male,British,"Andrew, Roberts","Roberts, Andrew",
Andrew,Wyeth,,Painter,Male,American,"Andrew, Wyeth","Wyeth, Andrew",
Andrey,Zvyagintsev,,"Film Director, Screenwriter",Male,Russian,"Andrey, Zvyagintsev","Zvyagintsev, Andrey",
Andrzej,Munk,,"Film Director, Screenwriter",Male,Polish,"Andrzej, Munk","Munk, Andrzej",
Andrzej,Wajda,,"Film Director, Screenwriter",Male,Polish,"Andrzej, Wajda","Wajda, Andrzej",
Andrzej,Żuławski,,"Film Director, Writer",Male,Polish,"Andrzej, Żuławski","Żuławski, Andrzej",
Ángel,Zárraga,,Painter,Male,Mexican,"Ángel, Zárraga","Zárraga, Ángel",
Angelo,Graf von Courten,,Painter,Male,Swiss,"Angelo, Graf von Courten","Graf von Courten, Angelo",
Anish,Kapoor,,Sculptor,Male,"British, Indian","Anish, Kapoor","Kapoor, Anish",
Anita,Brookner,,"Novelist, Art Historian",Female,British,"Anita, Brookner","Brookner, Anita",
Ann,Radcliffe,,,,,"Ann, Radcliffe","Radcliffe, Ann",
Anna,Akhmatova,,Poet,Female,Russian,"Anna, Akhmatova","Akhmatova, Anna",
Anna,Kavan,Helen Emily Woods,Writer,Female,British,"Anna, Kavan","Kavan, Anna",
Anna,Komnene,,"Historian, Princess",Female,Byzantine,"Anna, Komnene","Komnene, Anna",
Anna,Politkovskaya,,"Journalist, Human Rights Activist",Female,Russian,"Anna, Politkovskaya","Politkovskaya, Anna",
Anne,Applebaum,,,,,"Anne, Applebaum","Applebaum, Anne",
Anne,Brontë,,"Novelist, Poet",Female,British,"Anne, Brontë","Brontë, Anne",
Anne,Carson,,"Poet, Essayist",Female,Canadian,"Anne, Carson","Carson, Anne",
Anne,Frank,,,,,"Anne, Frank","Frank, Anne",
Anne,Sexton,Anne Gray Harvey,Poet,Female,American,"Anne, Sexton","Sexton, Anne",
Annie,Dillard,,"Essayist, Naturalist, Poet",Female,American,"Annie, Dillard","Dillard, Annie",
Annie,Ernaux,,,,,"Annie, Ernaux","Ernaux, Annie",
Anonymous,,,Painter,Unknown,Various,Anonymous,Anonymous,
Anselm,Kiefer,,"Painter, Sculptor",Male,German,"Anselm, Kiefer","Kiefer, Anselm",
Anthony,Burgess,John Anthony Burgess Wilson,"Novelist, Critic",Male,British,"Anthony, Burgess","Burgess, Anthony",
Anthony,Kaldellis,,"Byzantinist, Historian",Male,American,"Anthony, Kaldellis","Kaldellis, Anthony",
Anthony,Trollope,,,,,"Anthony, Trollope","Trollope, Anthony",
Antoine François,Prévost d'Exiles,,,,,"Antoine François, Prévost d'Exiles","Prévost d'Exiles, Antoine François",
Antoine,de Saint-Exupéry,,"Novelist, Essayist",Male,French,"Antoine, de Saint-Exupéry","de Saint-Exupéry, Antoine",
Antoine,Wiertz,Antoine Joseph Wiertz,"Painter, Sculptor",Male,Belgian,"Antoine, Wiertz","Wiertz, Antoine",
Anton,Chekhov,,"Playwright, Short Story Writer",Male,Russian,"Anton, Chekhov","Chekhov, Anton",
Anton,LaVey,Howard Stanton Levey,Occultist,Male,American,"Anton, LaVey","LaVey, Anton",
Antoni,Gaudí,,"Architect, Sculptor",Male,Spanish,"Antoni, Gaudí","Gaudí, Antoni",
Antonin,Artaud,,"Playwright, Poet, Essayist, Theater Director",Male,French,"Antonin, Artaud","Artaud, Antonin",
Antonio,Di Benedetto,,"Novelist, Journalist",Male,Argentine,"Antonio, Di Benedetto","Di Benedetto, Antonio",
Antonio,Gramsci,,"Philosopher, Political Theorist",Male,Italian,"Antonio, Gramsci","Gramsci, Antonio",
Antonio,Ligabue,,"Painter, Sculptor",Male,Italian,"Antonio, Ligabue","Ligabue, Antonio",
Antonio,Porchia,,"Poet, Aphorist",Male,"Italian, Argentine","Antonio, Porchia","Porchia, Antonio",
Antonio,Tabucchi,,,,,"Antonio, Tabucchi","Tabucchi, Antonio",
Antony,Beevor,,"Military Historian, Author",Male,British,"Antony, Beevor","Beevor, Antony",
Ari,Aster,,"Film Director, Screenwriter",Male,American,"Ari, Aster","Aster, Ari",
Aristotle,,,Philosopher,Male,Greek,Aristotle,Aristotle,
Arkady and Boris,Strugatsky,,Writers,Male,Soviet,"Arkady and Boris, Strugatsky","Strugatsky, Arkady and Boris",
Arno,Schmidt,,"Novelist, Translator, Literary Critic",Male,German,"Arno, Schmidt","Schmidt, Arno",
Arnold,Böcklin,,"Painter, Printmaker, Sculptor",Male,Swiss,"Arnold, Böcklin","Böcklin, Arnold",
Artemisia,Gentileschi,,Painter,Female,Italian,"Artemisia, Gentileschi","Gentileschi, Artemisia",
Arthur Conan,Doyle,Arthur Ignatius Conan Doyle,"Writer, Physician",Male,British,"Arthur Conan, Doyle","Doyle, Arthur Conan",
Arthur,Machen,Arthur Llewellyn Jones,"Novelist, Short Story Writer",Male,Welsh,"Arthur, Machen","Machen, Arthur",
Arthur,Miller,,,,,"Arthur, Miller","Miller, Arthur",
Arthur,Rackham,,Illustrator,Male,British,"Arthur, Rackham","Rackham, Arthur",
Arthur,Rimbaud,Jean Nicolas Arthur Rimbaud,Poet,Male,French,"Arthur, Rimbaud","Rimbaud, Arthur",
Arthur,Schnitzler,,,,,"Arthur, Schnitzler","Schnitzler, Arthur",
Arthur,Schopenhauer,,Philosopher,Male,German,"Arthur, Schopenhauer","Schopenhauer, Arthur",
Asghar,Farhadi,,"Film Director, Screenwriter",Male,Iranian,"Asghar, Farhadi","Farhadi, Asghar",
Astrid,Lindgren,,Children's Fiction Writer,Female,Swedish,"Astrid, Lindgren","Lindgren, Astrid",
Aubrey,Beardsley,,"Illustrator, Author",Male,British,"Aubrey, Beardsley","Beardsley, Aubrey",
Audre,Lorde,,"Poet, Essayist, Feminist",Female,American,"Audre, Lorde","Lorde, Audre",
August,Friedrich Schenck,,Painter,Male,German,"August, Friedrich Schenck","Friedrich Schenck, August",
Auguste,Comte,,Philosopher,Male,French,"Auguste, Comte","Comte, Auguste",
Auguste,Rodin,,Sculptor,Male,French,"Auguste, Rodin","Rodin, Auguste",
Auguste,Toulmouche,,Painter,Male,French,"Auguste, Toulmouche","Toulmouche, Auguste",
Auguste,Villiers de l'Isle-Adam,,Symbolist Writer,Male,French,"Auguste, Villiers de l'Isle-Adam","Villiers de l'Isle-Adam, Auguste",
Augustine of Hippo,,Aurelius Augustinus,"Philosopher, Theologian",Male,"Roman, North African",Augustine of Hippo,Augustine of Hippo,
Austin Osman,Spare,,"Painter, Occultist",Male,British,"Austin Osman, Spare","Spare, Austin Osman",
Averroes,,Ibn Rushd,"Philosopher, Physician",Male,Andalusian,Averroes,Averroes,
Avicenna,,Ibn Sina,"Philosopher, Physician",Male,Persian,Avicenna,Avicenna,
B.R.,Yeager,,Novelist,Male,American,"B.R., Yeager","Yeager, B.R.",
Balthus,,Balthasar Klossowski de Rola,Painter,Male,"French, Polish",Balthus,Balthus,
Barbara,Ehrenreich,,"Journalist, Political Activist",Female,American,"Barbara, Ehrenreich","Ehrenreich, Barbara",
Barbara,Tuchman,,"Historian, Journalist",Female,American,"Barbara, Tuchman","Tuchman, Barbara",
Barnett,Newman,,Painter,Male,American,"Barnett, Newman","Newman, Barnett",
Baruch,Spinoza,,Philosopher,Male,Dutch,"Baruch, Spinoza","Spinoza, Baruch",
Basil,Bunting,,Poet,Male,British,"Basil, Bunting","Bunting, Basil",
Beatrix,Potter,,"Writer, Illustrator",Female,British,"Beatrix, Potter","Potter, Beatrix",
Beksinski,Zdzislaw,,Painter,Male,Polish,"Beksinski, Zdzislaw","Zdzislaw, Beksinski",
Bela,Čikoš Sesija,,Painter,Male,Croatian,"Bela, Čikoš Sesija","Čikoš Sesija, Bela",
Béla,Tarr,,"Film Director, Screenwriter",Male,Hungarian,"Béla, Tarr","Tarr, Béla",
bell,hooks,Gloria Jean Watkins,"Philosopher, Feminist, Social Activist",Female,American,"bell, hooks","hooks, bell",
Benito,Pérez Galdós,,,,,"Benito, Pérez Galdós","Pérez Galdós, Benito",
Benjamín,Labatut,,Novelist,Male,Chilean,"Benjamín, Labatut","Labatut, Benjamín",
Benjamin,Moser,,,,,"Benjamin, Moser","Moser, Benjamin",
Benny,Safdie,,"Film Director, Actor, Screenwriter",Male,American,"Benny, Safdie","Safdie, Benny",
Bernal,Díaz del Castillo,,"Historian, Conquistador",Male,Spanish,"Bernal, Díaz del Castillo","Díaz del Castillo, Bernal",
Bernard,Stiegler,,Philosopher,Male,French,"Bernard, Stiegler","Stiegler, Bernard",
Bernardo,Bertolucci,,"Film Director, Screenwriter",Male,Italian,"Bernardo, Bertolucci","Bertolucci, Bernardo",
Berthe,Morisot,,Painter,Female,French,"Berthe, Morisot","Morisot, Berthe",
Bertrand,Russell,,"Philosopher, Mathematician",Male,British,"Bertrand, Russell","Russell, Bertrand",
Bi,Gan,,"Film Director, Screenwriter",Male,Chinese,"Bi, Gan","Gan, Bi",
Blaise,Cendrars,,,,,"Blaise, Cendrars","Cendrars, Blaise",
Blaise,Pascal,,"Philosopher, Mathematician, Physicist",Male,French,"Blaise, Pascal","Pascal, Blaise",
Boethius,,Anicius Manlius Severinus Boethius,Philosopher,Male,Roman,Boethius,Boethius,
Bohumil,Hrabal,,Novelist,Male,Czech,"Bohumil, Hrabal","Hrabal, Bohumil",
Bong,Joon-ho,,"Film Director, Screenwriter",Male,South Korean,"Bong, Joon-ho","Joon-ho, Bong",
Boris,Pasternak,,"Novelist, Poet, Translator",Male,Russian,"Boris, Pasternak","Pasternak, Boris",
Bram,Stoker,,Novelist,Male,Irish,"Bram, Stoker","Stoker, Bram",Y
Brandon,Cronenberg,,"Film Director, Screenwriter",Male,Canadian,"Brandon, Cronenberg","Cronenberg, Brandon",
Bret Easton,Ellis,,Novelist,Male,American,"Bret Easton, Ellis","Ellis, Bret Easton",
Brian,Evenson,,"Author, Literary Critic",Male,American,"Brian, Evenson","Evenson, Brian",
Briton,Rivière,,Painter,Male,British,"Briton, Rivière","Rivière, Briton",
Bruno,Dumont,,"Film Director, Screenwriter",Male,French,"Bruno, Dumont","Dumont, Bruno",
Bruno,Latour,,"Philosopher, Anthropologist",Male,French,"Bruno, Latour","Latour, Bruno",
Bruno,Schulz,,"Short Story Writer, Graphic Artist",Male,Polish,"Bruno, Schulz","Schulz, Bruno",
Bryan,Charnley,,Painter,Male,British,"Bryan, Charnley","Charnley, Bryan",
Bryan,Lewis Saunders,,"Artist, Illustrator",Male,American,"Bryan, Lewis Saunders","Lewis Saunders, Bryan",
Byung-Chul,Han,,"Philosopher, Cultural Theorist",Male,"Korean, German","Byung-Chul, Han","Han, Byung-Chul",
Cameron,Menzies,,"Artist, Photographer",Female,British,"Cameron, Menzies","Menzies, Cameron",
Camille,Claudel,,Sculptor,Female,French,"Camille, Claudel","Claudel, Camille",
Camille,Pissarro,,Painter,Male,"Danish, French","Camille, Pissarro","Pissarro, Camille",
Canaletto,,Giovanni Antonio Canal,Painter,Male,Italian,Canaletto,Canaletto,
Caravaggio,,Michelangelo Merisi da Caravaggio,Painter,Male,Italian,Caravaggio,Caravaggio,
Carey,McWilliams,,"Journalist, Editor, Lawyer",Male,American,"Carey, McWilliams","McWilliams, Carey",
Carl Theodor,Dreyer,,"Film Director, Screenwriter",Male,Danish,"Carl Theodor, Dreyer","Dreyer, Carl Theodor",
Carl,Bloch,,Painter,Male,Danish,"Carl, Bloch","Bloch, Carl",
Carl,Jung,,"Philosopher, Psychoanalyst",Male,Swiss,"Carl, Jung","Jung, Carl",
Carl,Sagan,,"Science Writer, Astronomer, Astrophysicist",Male,American,"Carl, Sagan","Sagan, Carl",
Carl,Strathmann,,Painter,Male,German,"Carl, Strathmann","Strathmann, Carl",
Carlos,Castaneda,,"Anthropologist, Writer",Male,"Peruvian, American","Carlos, Castaneda","Castaneda, Carlos",
Carlos,Fuentes,Carlos Fuentes Macías,"Novelist, Essayist",Male,Mexican,"Carlos, Fuentes","Fuentes, Carlos",
Carlos,Reygadas,,"Film Director, Screenwriter",Male,Mexican,"Carlos, Reygadas","Reygadas, Carlos",
Carlos,Ruiz Zafón,,,,,"Carlos, Ruiz Zafón","Ruiz Zafón, Carlos",
Carlos,Schwabe,,"Painter, Printmaker",Male,"German, Swiss","Carlos, Schwabe","Schwabe, Carlos",
Carolee,Schneemann,,"Visual Artist, Performance Artist",Female,American,"Carolee, Schneemann","Schneemann, Carolee",
Carson,McCullers,,"Novelist, Short Story Writer",Female,American,"Carson, McCullers","McCullers, Carson",
Caspar David,Friedrich,,Painter,Male,German,"Caspar David, Friedrich","Friedrich, Caspar David",
Caspar,David Friedrich,,Painter,Male,German,"Caspar, David Friedrich","David Friedrich, Caspar",
Catherine,Keller,,"Philosopher, Theologian",Female,American,"Catherine, Keller","Keller, Catherine",
Catherine,Malabou,,Philosopher,Female,French,"Catherine, Malabou","Malabou, Catherine",
Céline,Sciamma,,"Film Director, Screenwriter",Female,French,"Céline, Sciamma","Sciamma, Céline",
César,Vallejo,,"Poet, Writer",Male,Peruvian,"César, Vallejo","Vallejo, César",
Cesare,Pavese,,,,,"Cesare, Pavese","Pavese, Cesare",
Chantal,Akerman,,"Film Director, Artist",Female,Belgian,"Chantal, Akerman","Akerman, Chantal",
Chan-wook,Park,,"Film Director, Screenwriter",Male,South Korean,"Chan-wook, Park","Park, Chan-wook",
Charles Sanders,Peirce,,"Philosopher, Logician",Male,American,"Charles Sanders, Peirce","Peirce, Charles Sanders",
Charles,Baudelaire,,"Poet, Essayist, Critic",Male,French,"Charles, Baudelaire","Baudelaire, Charles",
Charles,Bukowski,,"Poet, Novelist",Male,"German, American","Charles, Bukowski","Bukowski, Charles",
Charles,Chaplin,Charles Spencer Chaplin,"Film Director, Actor, Screenwriter",Male,British,"Charles, Chaplin","Chaplin, Charles",
Charles,Christian Nahl,,"Painter, Illustrator",Male,"German, American","Charles, Christian Nahl","Christian Nahl, Charles",
Charles,Darwin,,,,,"Charles, Darwin","Darwin, Charles",
Charles,Dickens,Charles John Huffam Dickens,Novelist,Male,British,"Charles, Dickens","Dickens, Charles",
Charles,Filiger,,Painter,Male,French,"Charles, Filiger","Filiger, Charles",
Charles,Le Brun,,"Painter, Art Theorist",Male,French,"Charles, Le Brun","Le Brun, Charles",
Charles,Maturin,,"Gothic Novelist, Playwright",Male,Irish,"Charles, Maturin","Maturin, Charles",
Charles,Taylor,,Philosopher,Male,Canadian,"Charles, Taylor","Taylor, Charles",
Charles,West Cope,,Painter,Male,British,"Charles, West Cope","West Cope, Charles",
"Charles-Louis de Secondat, Baron de",Montesquieu,,"Philosopher, Political Theorist",Male,French,"Charles-Louis de Secondat, Baron de, Montesquieu","Montesquieu, Charles-Louis de Secondat, Baron de",
Charlotte Perkins,Gilman,,"Writer, Feminist",Female,American,"Charlotte Perkins, Gilman","Gilman, Charlotte Perkins",
Charlotte,Brontë,,"Novelist, Poet",Female,English,"Charlotte, Brontë","Brontë, Charlotte",
Charlotte,Dacre,Rosa Matilda,Gothic Novelist,Female,English,"Charlotte, Dacre","Dacre, Charlotte",
Chimamanda,Ngozi Adichie,,,,,"Chimamanda, Ngozi Adichie","Ngozi Adichie, Chimamanda",
Chinua,Achebe,,"Novelist, Poet, Critic",Male,Nigerian,"Chinua, Achebe","Achebe, Chinua",
Chloé,Zhao,,"Film Director, Screenwriter",Female,Chinese,"Chloé, Zhao","Zhao, Chloé",
Chris,Marker,Christian François Bouche-Villeneuve,"Film Director, Writer",Male,French,"Chris, Marker","Marker, Chris",
Chris,Mars,,"Painter, Musician",Male,American,"Chris, Mars","Mars, Chris",
Christopher,Nolan,,"Film Director, Screenwriter",Male,"British, American","Christopher, Nolan","Nolan, Christopher",
Chuck,Palahniuk,Charles Michael Palahniuk,Novelist,Male,American,"Chuck, Palahniuk","Palahniuk, Chuck",
Cimabue,,Cenni di Pepo,Painter,Male,Italian,Cimabue,Cimabue,
Cindy,Sherman,,"Photographer, Film Director",Female,American,"Cindy, Sherman","Sherman, Cindy",
Claire,Denis,,"Film Director, Screenwriter",Female,French,"Claire, Denis","Denis, Claire",
Clarice,Lispector,,"Novelist, Short Story Writer",Female,Brazilian,"Clarice, Lispector","Lispector, Clarice",Y
Clark Ashton,Smith,,"Writer, Poet",Male,American,"Clark Ashton, Smith","Smith, Clark Ashton",
Claude,Monet,,Painter,Male,French,"Claude, Monet","Monet, Claude",
Claude,Simon,,Novelist,Male,French,"Claude, Simon","Simon, Claude",
Clayton,Eshleman,,"Poet, Translator",Male,American,"Clayton, Eshleman","Eshleman, Clayton",
Colette,Gauthier-Villars,,,,,"Colette, Gauthier-Villars","Gauthier-Villars, Colette",
Colin,Wilson,,"Writer, Philosopher",Male,British,"Colin, Wilson","Wilson, Colin",
Comte de,Lautréamont,Isidore Lucien Ducasse,Poet,Male,French,"Comte de, Lautréamont","Lautréamont, Comte de",
Cormac,McCarthy,,"Novelist, Playwright",Male,American,"Cormac, McCarthy","McCarthy, Cormac",
Cornel,West,,"Philosopher, Political Activist",Male,American,"Cornel, West","West, Cornel",
Cornelius,Castoriadis,,"Philosopher, Psychoanalyst",Male,"Greek, French","Cornelius, Castoriadis","Castoriadis, Cornelius",
Cornelius,Tacitus,,"Historian, Senator",Male,Roman,"Cornelius, Tacitus","Tacitus, Cornelius",
Cristi,Puiu,,"Film Director, Screenwriter",Male,Romanian,"Cristi, Puiu","Puiu, Cristi",
Cy,Twombly,,"Painter, Sculptor",Male,American,"Cy, Twombly","Twombly, Cy",
Czesław,Miłosz,,"Poet, Novelist, Essayist",Male,"Polish, American","Czesław, Miłosz","Miłosz, Czesław",
Dacia,Maraini,,"Novelist, Playwright, Essayist",Female,Italian,"Dacia, Maraini","Maraini, Dacia",
Damián,Szifron,,"Film Director, Screenwriter",Male,Argentine,"Damián, Szifron","Szifron, Damián",
Damien,Hirst,,"Conceptual Artist, Painter, Sculptor",Male,British,"Damien, Hirst","Hirst, Damien",
Daniel,Dennett,,"Philosopher, Cognitive Scientist",Male,American,"Daniel, Dennett","Dennett, Daniel",
Daniel,Keyes,,,,,"Daniel, Keyes","Keyes, Daniel",
Danilo,Kiš,,"Writer, Novelist, Poet",Male,Serbian,"Danilo, Kiš","Kiš, Danilo",
Dante Gabriel,Rossetti,,"Painter, Poet",Male,British,"Dante Gabriel, Rossetti","Rossetti, Dante Gabriel",
Dante,Alighieri,,Poet,Male,Italian,"Dante, Alighieri","Alighieri, Dante",
Danzig,Baldaev,,"Artist, Ethnographer",Male,Russian,"Danzig, Baldaev","Baldaev, Danzig",
Daphne,du Maurier,,"Novelist, Playwright, Short Story Writer",Female,British,"Daphne, du Maurier","du Maurier, Daphne",Y
Darren,Aronofsky,,"Film Director, Screenwriter",Male,American,"Darren, Aronofsky","Aronofsky, Darren",
Dathan,Auerbach,,Novelist,Male,American,"Dathan, Auerbach","Auerbach, Dathan",
David J.,Griffiths,,"Physicist, Author",Male,American,"David J., Griffiths","Griffiths, David J.",
David,Cronenberg,,"Film Director, Screenwriter, Writer",Male,Canadian,"David, Cronenberg","Cronenberg, David",
David,Fincher,,Film Director,Male,American,"David, Fincher","Fincher, David",
